Batch Size,Repeat Number,Time Taken (seconds)
2,1,0.32996535301208496
2,2,0.3090338706970215
2,3,0.21814990043640137
2,4,0.22477960586547852
2,5,0.24544167518615723
100,1,0.2301805019378662
100,2,0.2304213047027588
100,3,0.25034284591674805
100,4,0.23924684524536133
100,5,0.23467183113098145
500,1,0.474198579788208
500,2,0.31002259254455566
500,3,0.3361806869506836
500,4,0.31305360794067383
500,5,0.3071324825286865
1000,1,0.513756513595581
1000,2,0.5165166854858398
1000,3,0.5229403972625732
1000,4,0.5212910175323486
1000,5,0.5083198547363281
