Batch Size,Repeat Number,Time Taken (seconds)
1,1,0.3955504894256592
1,2,0.38173890113830566
1,3,0.3490586280822754
1,4,0.3443882465362549
1,5,0.34423327445983887
1,6,0.3616342544555664
1,7,0.34325695037841797
1,8,0.359926700592041
1,9,0.36438894271850586
1,10,0.3445117473602295
2,1,0.39706873893737793
2,2,0.39191317558288574
2,3,0.3741281032562256
2,4,0.4049224853515625
2,5,0.38396453857421875
2,6,0.3870871067047119
2,7,0.4575378894805908
2,8,0.4084017276763916
2,9,0.43511247634887695
2,10,0.4052915573120117
4,1,0.41227102279663086
4,2,0.3913276195526123
4,3,0.3941965103149414
4,4,0.39509129524230957
4,5,0.41907501220703125
4,6,0.4152247905731201
4,7,0.3863074779510498
4,8,0.38973331451416016
4,9,0.3791787624359131
4,10,0.39742445945739746
8,1,0.40703725814819336
8,2,0.4077925682067871
8,3,0.3871328830718994
8,4,0.3923945426940918
8,5,0.4140205383300781
8,6,0.4009249210357666
8,7,0.3833029270172119
8,8,0.3864157199859619
8,9,0.37717580795288086
8,10,0.3893098831176758
16,1,0.39072442054748535
16,2,0.397991418838501
16,3,0.3839759826660156
16,4,0.38644957542419434
16,5,0.4022073745727539
16,6,0.3834266662597656
16,7,0.38294458389282227
16,8,0.40346765518188477
16,9,0.39971089363098145
16,10,0.40122389793395996
32,1,0.3882005214691162
32,2,0.38646531105041504
32,3,0.3877713680267334
32,4,0.41320157051086426
32,5,0.39513230323791504
32,6,0.40120744705200195
32,7,0.39850831031799316
32,8,0.3843977451324463
32,9,0.380812406539917
32,10,0.4034090042114258
64,1,0.4044344425201416
64,2,0.4078950881958008
64,3,0.4161050319671631
64,4,0.42409563064575195
64,5,0.4352848529815674
64,6,0.4309983253479004
64,7,0.4145517349243164
64,8,0.42127156257629395
64,9,0.40221571922302246
64,10,0.4112076759338379
128,1,0.4308490753173828
128,2,0.461073637008667
128,3,0.425626277923584
128,4,0.4272611141204834
128,5,0.4309043884277344
128,6,0.4320099353790283
128,7,0.4279515743255615
128,8,0.41790270805358887
128,9,0.4409487247467041
128,10,0.41511058807373047
256,1,0.449688196182251
256,2,0.46094274520874023
256,3,0.45940065383911133
256,4,0.4655632972717285
256,5,0.4564535617828369
256,6,0.47542238235473633
256,7,0.46905517578125
256,8,0.4684183597564697
256,9,0.4579188823699951
256,10,0.4577796459197998
512,1,0.6070406436920166
512,2,0.6130366325378418
512,3,0.6134510040283203
512,4,0.601041316986084
512,5,0.6033060550689697
512,6,0.602349042892456
512,7,0.6046230792999268
512,8,0.600487470626831
512,9,0.6026623249053955
512,10,0.5999696254730225
1000,1,1.00197172164917
1000,2,1.0024020671844482
1000,3,1.0015473365783691
1000,4,1.0096640586853027
1000,5,1.0139188766479492
1000,6,1.0057258605957031
1000,7,1.0093309879302979
1000,8,1.0523645877838135
1000,9,1.051086664199829
1000,10,1.0548667907714844
2000,1,2.066596508026123
2000,2,2.0457584857940674
2000,3,2.0555953979492188
2000,4,2.080320358276367
2000,5,2.078958034515381
2000,6,2.0916242599487305
2000,7,2.0697085857391357
2000,8,2.02923583984375
2000,9,2.044649600982666
2000,10,2.0352773666381836
4000,1,4.134167194366455
4000,2,4.121538162231445
4000,3,4.145273447036743
4000,4,4.167306423187256
4000,5,4.141494274139404
4000,6,4.143181324005127
4000,7,4.1485371589660645
4000,8,4.166193008422852
4000,9,4.094813346862793
4000,10,4.1191442012786865
8000,1,8.354722023010254
8000,2,8.354698419570923
8000,3,8.348917961120605
8000,4,8.351190567016602
8000,5,8.365065336227417
8000,6,8.341724395751953
8000,7,8.326707124710083
8000,8,8.334763050079346
8000,9,8.341036558151245
8000,10,8.376084327697754
15000,1,17.577752828598022
15000,2,17.479477882385254
15000,3,17.60864281654358
15000,4,17.80522322654724
15000,5,17.645312547683716
15000,6,17.626708507537842
15000,7,17.571657419204712
15000,8,17.501312255859375
15000,9,17.43364953994751
15000,10,17.426729440689087
20000,1,23.517796277999878
20000,2,23.295780181884766
20000,3,23.215283393859863
20000,4,23.28161597251892
20000,5,23.330129146575928
20000,6,23.531475067138672
20000,7,23.594833612442017
20000,8,23.41197419166565
20000,9,23.35894536972046
20000,10,23.266722202301025
30000,1,34.83794593811035
30000,2,34.87151217460632
30000,3,34.7752902507782
30000,4,34.89346432685852
30000,5,34.94003129005432
30000,6,34.95925712585449
30000,7,35.243685722351074
30000,8,34.781134605407715
30000,9,34.82376217842102
30000,10,35.014453411102295
40000,1,46.341009855270386
40000,2,46.332600593566895
40000,3,46.390201568603516
40000,4,46.42924118041992
40000,5,46.65958380699158
40000,6,46.432801485061646
40000,7,46.19013023376465
40000,8,46.33843779563904
40000,9,45.855711221694946
40000,10,46.14675736427307
50000,1,57.70663356781006
50000,2,57.68173432350159
50000,3,57.61915946006775
50000,4,57.79889369010925
50000,5,57.972532987594604
50000,6,57.789390563964844
50000,7,57.96976828575134
50000,8,57.89223861694336
50000,9,57.62642025947571
50000,10,57.71649956703186
60000,1,69.36354732513428
60000,2,69.38517785072327
60000,3,69.48154854774475
60000,4,69.36364674568176
60000,5,69.47319340705872
60000,6,69.57004284858704
60000,7,69.42476654052734
60000,8,69.60733985900879
60000,9,69.44757127761841
60000,10,69.23520874977112
