Batch Size,Repeat Number,Time Taken (seconds)
1,1,0.05247950553894043
1,2,0.060616254806518555
1,3,0.0429689884185791
1,4,0.047019243240356445
1,5,0.04643082618713379
1,6,0.060114383697509766
1,7,0.04222249984741211
1,8,0.04394078254699707
1,9,0.04145646095275879
1,10,0.04478812217712402
2,1,0.04407906532287598
2,2,0.05383038520812988
2,3,0.045023441314697266
2,4,0.047800540924072266
2,5,0.044037580490112305
2,6,0.04408454895019531
2,7,0.0445706844329834
2,8,0.04369020462036133
2,9,0.0449366569519043
2,10,0.0540463924407959
4,1,0.05431509017944336
4,2,0.0453646183013916
4,3,0.045506954193115234
4,4,0.044467926025390625
4,5,0.05454826354980469
4,6,0.05036044120788574
4,7,0.05069422721862793
4,8,0.044156551361083984
4,9,0.04485321044921875
4,10,0.046640634536743164
8,1,0.0581512451171875
8,2,0.044440507888793945
8,3,0.04776310920715332
8,4,0.054961442947387695
8,5,0.04902458190917969
8,6,0.05777382850646973
8,7,0.048436641693115234
8,8,0.05763745307922363
8,9,0.055274248123168945
8,10,0.044823408126831055
16,1,0.04449129104614258
16,2,0.04248857498168945
16,3,0.047232866287231445
16,4,0.04584145545959473
16,5,0.04397940635681152
16,6,0.042862892150878906
16,7,0.06181049346923828
16,8,0.043068885803222656
16,9,0.04440927505493164
16,10,0.05483889579772949
32,1,0.04226493835449219
32,2,0.044901132583618164
32,3,0.04384016990661621
32,4,0.053130388259887695
32,5,0.04414653778076172
32,6,0.04697608947753906
32,7,0.04353642463684082
32,8,0.04366016387939453
32,9,0.04659461975097656
32,10,0.04276895523071289
64,1,0.04893827438354492
64,2,0.0447845458984375
64,3,0.043385982513427734
64,4,0.04649710655212402
64,5,0.04997897148132324
64,6,0.04434704780578613
64,7,0.044487953186035156
64,8,0.05968928337097168
64,9,0.04318666458129883
64,10,0.04469037055969238
128,1,0.043877601623535156
128,2,0.04354405403137207
128,3,0.04385852813720703
128,4,0.04276323318481445
128,5,0.046805620193481445
128,6,0.043605804443359375
128,7,0.043519020080566406
128,8,0.04351305961608887
128,9,0.04350781440734863
128,10,0.050118207931518555
256,1,0.04378914833068848
256,2,0.04390978813171387
256,3,0.04396319389343262
256,4,0.043160200119018555
256,5,0.044953346252441406
256,6,0.0435945987701416
256,7,0.0510561466217041
256,8,0.045079946517944336
256,9,0.046309709548950195
256,10,0.04520821571350098
512,1,0.05287981033325195
512,2,0.06273245811462402
512,3,0.0530095100402832
512,4,0.0701284408569336
512,5,0.05394577980041504
512,6,0.0534970760345459
512,7,0.05458259582519531
512,8,0.05310511589050293
512,9,0.05328702926635742
512,10,0.07043933868408203
1000,1,0.09361100196838379
1000,2,0.09295964241027832
1000,3,0.09352445602416992
1000,4,0.09326505661010742
1000,5,0.09296059608459473
1000,6,0.09327459335327148
1000,7,0.09337353706359863
1000,8,0.09325671195983887
1000,9,0.09502053260803223
1000,10,0.09342217445373535
2000,1,0.2555580139160156
2000,2,0.2540316581726074
2000,3,0.25699496269226074
2000,4,0.25328826904296875
2000,5,0.25418615341186523
2000,6,0.25280261039733887
2000,7,0.25470423698425293
2000,8,0.2551722526550293
2000,9,0.2524378299713135
2000,10,0.25333380699157715
4000,1,0.6025352478027344
4000,2,0.5818517208099365
4000,3,0.5817337036132812
4000,4,0.5819847583770752
4000,5,0.5816631317138672
4000,6,0.5834324359893799
4000,7,0.582003116607666
4000,8,0.582319974899292
4000,9,0.5823416709899902
4000,10,0.5828702449798584
8000,1,1.1892917156219482
8000,2,1.1905040740966797
8000,3,1.189711570739746
8000,4,1.1906018257141113
8000,5,1.1901872158050537
8000,6,1.1910333633422852
8000,7,1.1921625137329102
8000,8,1.1902096271514893
8000,9,1.1895461082458496
8000,10,1.190032958984375
15000,1,2.2438459396362305
15000,2,2.243666410446167
15000,3,2.2420055866241455
15000,4,2.292785882949829
15000,5,2.3196632862091064
15000,6,2.318054676055908
15000,7,2.321364402770996
15000,8,2.303309679031372
15000,9,2.252976894378662
15000,10,2.2505252361297607
20000,1,2.998138189315796
20000,2,2.9978723526000977
20000,3,2.9987218379974365
20000,4,2.997330665588379
20000,5,2.996204137802124
20000,6,2.995774269104004
20000,7,2.996331214904785
20000,8,2.9983327388763428
20000,9,2.9984238147735596
20000,10,2.9997127056121826
30000,1,4.501115322113037
30000,2,4.505024671554565
30000,3,4.498663663864136
30000,4,4.4975879192352295
30000,5,4.498183012008667
30000,6,4.499288558959961
30000,7,4.508576393127441
30000,8,4.498939037322998
30000,9,4.498705863952637
30000,10,4.500630140304565
40000,1,6.010668039321899
40000,2,6.010870695114136
40000,3,6.006754398345947
40000,4,6.012968063354492
40000,5,6.00594687461853
40000,6,6.008795499801636
40000,7,6.005860328674316
40000,8,6.007302284240723
40000,9,6.0129053592681885
40000,10,6.005720376968384
50000,1,7.522245407104492
50000,2,7.5220232009887695
50000,3,7.550994157791138
50000,4,7.521559953689575
50000,5,7.521490097045898
50000,6,7.526424169540405
50000,7,7.520174503326416
50000,8,7.522979021072388
50000,9,7.63836669921875
50000,10,7.525455474853516
60000,1,9.216043949127197
60000,2,9.184003114700317
60000,3,9.216882228851318
60000,4,9.02384352684021
60000,5,9.218395709991455
60000,6,9.154757976531982
60000,7,9.15171217918396
60000,8,9.136605024337769
60000,9,9.189742088317871
60000,10,9.162756204605103
