Batch Size,Repeat Number,Time Taken (seconds)
1,1,0.2738776206970215
1,2,0.22402024269104004
1,3,0.25925612449645996
1,4,0.20755219459533691
1,5,0.1832904815673828
1,6,0.19507813453674316
1,7,0.21604061126708984
1,8,0.1772937774658203
1,9,0.20067858695983887
1,10,0.23092985153198242
2,1,0.2007606029510498
2,2,0.21133184432983398
2,3,0.21174287796020508
2,4,0.18482065200805664
2,5,0.19182682037353516
2,6,0.2174513339996338
2,7,0.21093392372131348
2,8,0.1946725845336914
2,9,0.18738484382629395
2,10,0.2015995979309082
4,1,0.18833446502685547
4,2,0.1904158592224121
4,3,0.1882336139678955
4,4,0.17946767807006836
4,5,0.21961307525634766
4,6,0.18008828163146973
4,7,0.18361687660217285
4,8,0.17293858528137207
4,9,0.23685145378112793
4,10,0.17821240425109863
8,1,0.19325804710388184
8,2,0.21489429473876953
8,3,0.1792285442352295
8,4,0.2674441337585449
8,5,0.1911635398864746
8,6,0.20609545707702637
8,7,0.19900274276733398
8,8,0.20359325408935547
8,9,0.2022230625152588
8,10,0.23782920837402344
16,1,0.19228625297546387
16,2,0.17388629913330078
16,3,0.18976187705993652
16,4,0.2015223503112793
16,5,0.23862886428833008
16,6,0.2043623924255371
16,7,0.20748519897460938
16,8,0.1906440258026123
16,9,0.1887369155883789
16,10,0.20505857467651367
32,1,0.19965195655822754
32,2,0.20691871643066406
32,3,0.1885976791381836
32,4,0.20363521575927734
32,5,0.21928048133850098
32,6,0.24535560607910156
32,7,0.19855141639709473
32,8,0.19969534873962402
32,9,0.18169546127319336
32,10,0.2603645324707031
64,1,0.20623350143432617
64,2,0.2442481517791748
64,3,0.21284270286560059
64,4,0.19639968872070312
64,5,0.18923425674438477
64,6,0.21669936180114746
64,7,0.18342256546020508
64,8,0.18197226524353027
64,9,0.2006375789642334
64,10,0.20631980895996094
128,1,0.20460724830627441
128,2,0.20906352996826172
128,3,0.20546364784240723
128,4,0.1707630157470703
128,5,0.2327897548675537
128,6,0.23588252067565918
128,7,0.25087857246398926
128,8,0.2427539825439453
128,9,0.21122288703918457
128,10,0.22140741348266602
256,1,0.23386716842651367
256,2,0.21209287643432617
256,3,0.23804020881652832
256,4,0.2197577953338623
256,5,0.2214806079864502
256,6,0.19263672828674316
256,7,0.20214200019836426
256,8,0.2028796672821045
256,9,0.23642826080322266
256,10,0.2349388599395752
512,1,0.2803459167480469
512,2,0.2605726718902588
512,3,0.2522618770599365
512,4,0.2927722930908203
512,5,0.26410984992980957
512,6,0.2374284267425537
512,7,0.23479747772216797
512,8,0.23914861679077148
512,9,0.26267552375793457
512,10,0.2888035774230957
1000,1,0.3301095962524414
1000,2,0.29906535148620605
1000,3,0.3120262622833252
1000,4,0.30208778381347656
1000,5,0.3038184642791748
1000,6,0.30707764625549316
1000,7,0.31658315658569336
1000,8,0.2875702381134033
1000,9,0.35760498046875
1000,10,0.326413631439209
2000,1,0.4102334976196289
2000,2,0.4709315299987793
2000,3,0.4612874984741211
2000,4,0.43085718154907227
2000,5,0.48684167861938477
2000,6,0.4173448085784912
2000,7,0.47242307662963867
2000,8,0.4559669494628906
2000,9,0.4735229015350342
2000,10,0.44501352310180664
4000,1,0.7177467346191406
4000,2,0.716926097869873
4000,3,0.7464370727539062
4000,4,0.7257223129272461
4000,5,0.765122652053833
4000,6,0.7921900749206543
4000,7,0.7278447151184082
4000,8,0.7085182666778564
4000,9,0.7291698455810547
4000,10,0.7407681941986084
8000,1,1.3413832187652588
8000,2,1.3064162731170654
8000,3,1.3245298862457275
8000,4,1.2877891063690186
8000,5,1.3638083934783936
8000,6,1.362379789352417
8000,7,1.4025826454162598
8000,8,1.34251070022583
8000,9,1.3837382793426514
8000,10,1.3733115196228027
15000,1,2.427597761154175
15000,2,2.417376756668091
15000,3,2.3655686378479004
15000,4,2.423513412475586
15000,5,2.370558261871338
15000,6,2.3724918365478516
15000,7,2.374129295349121
15000,8,2.379075765609741
15000,9,2.4283363819122314
15000,10,2.39555025100708
20000,1,3.143831729888916
20000,2,3.162747859954834
20000,3,3.3168694972991943
20000,4,3.1595964431762695
20000,5,3.2164907455444336
20000,6,3.2310423851013184
20000,7,3.3229243755340576
20000,8,3.268125534057617
20000,9,3.2330338954925537
20000,10,3.2575936317443848
30000,1,4.801885366439819
30000,2,4.789911508560181
30000,3,4.86467170715332
30000,4,4.827518463134766
30000,5,4.654588222503662
30000,6,4.7214577198028564
30000,7,4.69028377532959
30000,8,4.7771148681640625
30000,9,4.782774209976196
30000,10,4.8561787605285645
40000,1,6.437680959701538
40000,2,6.426286697387695
40000,3,6.418776273727417
40000,4,6.233164310455322
40000,5,6.408257007598877
40000,6,6.436956882476807
40000,7,6.423781394958496
40000,8,6.417662858963013
40000,9,6.316951036453247
40000,10,6.418567180633545
50000,1,7.942677736282349
50000,2,8.164127826690674
50000,3,8.048035860061646
50000,4,7.8684961795806885
50000,5,8.050390481948853
50000,6,8.012108564376831
50000,7,7.998633146286011
50000,8,7.935280084609985
50000,9,8.048890352249146
50000,10,7.955636262893677
60000,1,9.701483011245728
60000,2,9.531967878341675
60000,3,9.639668226242065
60000,4,9.633344411849976
60000,5,9.592483043670654
60000,6,9.590302467346191
60000,7,9.488983392715454
60000,8,9.837391138076782
60000,9,9.763633489608765
60000,10,9.73782205581665
